Código,Título,Preço,Endereço,Quartos,Banheiros,Área,Link,Quantidade de Imagens
-2029,Sem título,"R$ 589.900,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-plaza-mayor-torres-centro-2-quartos-1-garagem-venda-ref-2029/,0
-2243,Sem título,"R$ 864.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-portobello-torres-praia-da-cal-3-quartos-1-garagem-venda-ref-2243/,0
-413,Sem título,"R$ 2.300.000,00","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",3,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-freedom-torres-praia-grande-3-quartos-2-garagens-venda-ref-413/,0
-932,Sem título,R$ 1.267.860,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-london-torres-predial-2-quartos-1-garagem-venda-ref-932/,0
-308,Sem título,"R$ 446.990,00
    aceita financiamento","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/sobrado-torres-morada-das-palmeiras-2-quartos-1-garagem-venda-ref-308/,0
-1216,Sem título,"R$ 3.890.000,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",4,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-graziela-torres-predial-4-quartos-3-garagens-venda-ref-1216/,0
-2258,Sem título,"R$ 890.000,00
    aceita permuta aceita financiamento aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-freedom-torres-praia-grande-2-quartos-1-garagem-venda-ref-2258/,0
-2249,Sem título,R$ 530.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",1,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-ilha-de-porto-belo-torres-predial-1-quarto-1-garagem-venda-ref-2249/,0
-1470,Sem título,"R$ 1.287.582,00
    aceita permuta aceita financiamento financiamento com construtora aceita veículo","Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",2,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-acropole-torres-praia-da-cal-2-quartos-1-garagem-venda-ref-1470/,0
-1398,Sem título,R$ 530.000,"Nova Torres Imobiliária


Rua José Antônio Picoral, nº 250
Centro - 95560-000
Torres - RS
mapa google
Nova Torres Negócios Imobiliários Ltda
CNPJ: 12.426.333/0001-66",1,N/A,N/A,https://www.novatorres.com.br/imovel/apartamento-no-edificio-sapt-torres-prainha-1-quarto-1-garagem-venda-ref-1398/,0
